yprr,weighted_opportunity,aging_curve_position,feature_season,route_participation,total_points_t,dakota,air_yards_share,ppg_t_minus_1,ppg_t,is_dual_threat,age,pass_attempts,cpoe,dropback_count,depth_chart_position,games_t,snap_share_t_minus_1,target_share_nfl,snap_share,ppg_t_minus_2,epa_per_dropback,player_id,team,tprr,aging_curve_value,position,avg_ppg_t1_t2
,0.0,,2024,,256.58,,0.0,0.0,15.092941176470587,False,41.0,584,-2.3658514215863344,,QB,17,0.07,0.0,0.9635294117647059,14.070588235294117,0.6641172619643815,00-0023459,NYJ,,0.36,QB,13.465882352941177
,0.059336719742111944,,2018,,102.60000000000001,,0.00594900849858357,,7.328571428571429,True,35.0,0,,,RB,14,,0.0367816091954023,0.40714285714285714,,,00-0023500,MIA,,0.0,RB,6.374375000000001
,0.05023781875914372,,2019,,97.10000000000001,,0.0026438885499288182,7.328571428571429,6.0687500000000005,True,36.0,0,,,RB,16,0.40714285714285714,0.03225806451612903,0.33529411764705885,,,00-0023500,BUF,,0.0,RB,6.680000000000001
,0.07117389255838348,,2018,,72.0,,0.004715127701375246,,9.0,False,35.0,0,,,RB,8,,0.04524886877828054,0.405,,,00-0023564,PHI,,0.0,RB,2.8333333333333335
,0.0,,2018,,165.84,,0.0,,20.73,False,36.0,246,4.6505490944521215,,QB,8,,0.0,0.7875,,7.577652703672098,00-0023682,TB,,0.76,QB,16.58977777777778
,0.0,,2019,,241.46,,0.0,20.73,16.097333333333335,False,37.0,502,1.7500867548242816,,QB,15,0.7875,0.0,0.8586666666666666,,1.568570292593936,00-0023682,MIA,,0.68,QB,8.901111111111112
,0.0020943988411395464,,2020,,153.74,,-0.0009398496240601503,16.097333333333335,17.082222222222224,False,38.0,267,5.595822776814476,,QB,9,0.8586666666666666,0.001834862385321101,0.8333333333333334,20.73,5.410357579540566,00-0023682,MIA,,0.6,QB,0.72
,0.1808526642977426,,2018,,75.7,,0.10060459492140265,,5.823076923076924,False,34.0,0,,,TE,13,,0.0736196319018405,0.49142857142857144,,,00-0024221,WAS,,0.6,TE,7.075
,0.010409161556520559,,2018,,6.9,,0.0009102494083378846,,1.3800000000000001,False,34.0,0,,,TE,5,,0.006514657980456026,0.181875,,,00-0024243,GB,,0.6,TE,3.3926282051282053
,0.06655539483539519,,2019,,40.0,,0.020203927492447128,1.3800000000000001,3.076923076923077,False,35.0,0,,,TE,13,0.181875,0.03494176372712146,0.45611111111111113,,,00-0024243,GB,,0.5,TE,3.404166666666667
,0.07012737991731284,,2020,,44.5,,0.026417525773195876,3.076923076923077,3.7083333333333335,False,36.0,0,,,TE,12,0.45611111111111113,0.03442340791738382,0.43529411764705883,1.3800000000000001,,00-0024243,GB,,0.4,TE,3.766666666666667
,0.08814358546423536,,2021,,43.400000000000006,,0.02182751979456452,3.7083333333333335,3.1000000000000005,False,37.0,0,,,TE,14,0.43529411764705883,0.048576214405360134,0.43,3.076923076923077,,00-0024243,GB,,0.3,TE,3.291666666666667
,0.02872249535122287,,2022,,26.6,,0.013202822672433417,3.1000000000000005,4.433333333333334,False,38.0,0,,,TE,6,0.43,0.012987012987012988,0.4117647058823529,3.7083333333333335,,00-0024243,GB,,0.2,TE,1.1949999999999998
,0.017734432070127773,,2023,,12.899999999999999,,0.0025869502730669733,4.433333333333334,2.15,False,39.0,0,,,TE,6,0.4117647058823529,0.010615711252653927,0.28764705882352937,3.1000000000000005,,00-0024243,CHI,,0.1,TE,0.12
,0.0030196975876910837,,2024,,1.2,,0.00023998080153587713,2.15,0.24,False,40.0,0,,,TE,5,0.28764705882352937,0.0019011406844106464,0.19176470588235295,4.433333333333334,,00-0024243,CHI,,0.0,TE,0.0
,0.03487086782977413,,2018,,9.2,,0.014438166980539862,,9.2,False,34.0,0,,,TE,1,,0.01650943396226415,0.57,,,00-0024389,TEN,,0.6,TE,9.083333333333334
,0.08127818042892856,,2018,,189.0,,0.002176541717049577,,11.8125,True,33.0,0,,,RB,16,,0.053169734151329244,0.46125,,,00-0025394,WAS,,0.0,RB,8.790625
,0.06602799433220419,,2019,,147.0,,-0.012122920778122357,11.8125,9.8,True,34.0,0,,,RB,15,0.46125,0.04967602591792657,0.4713333333333333,,,00-0025394,WAS,,0.0,RB,7.215625
,0.04744251828652143,,2020,,124.5,,-0.0012257405515832482,9.8,7.78125,True,35.0,0,,,RB,16,0.4713333333333333,0.03220035778175313,0.29562499999999997,11.8125,,00-0025394,DET,,0.0,RB,6.65
,0.22580030487804875,,2018,,68.7,,0.16260162601626016,,9.814285714285715,False,33.0,0,,,WR,7,,0.07465277777777778,0.5571428571428572,,,00-0025396,NO,,0.4,WR,3.471875
