snap_share_t_minus_1,cpoe,player_id,route_participation,aging_curve_position,ppg_t,depth_chart_position,tprr,total_points_t,ppg_t_minus_2,dakota,air_yards_share,aging_curve_value,target_share_nfl,yprr,epa_per_dropback,dropback_count,team,feature_season,weighted_opportunity,age,is_dual_threat,ppg_t_minus_1,pass_attempts,snap_share,games_t,position,avg_ppg_t1_t2,training_eligible,outcome_returned,ppg_t_minus_1_available,ppg_t_minus_2_available,snap_share_t_minus_1_available,te_role_is_risk_profile,ngs_completion_percentage_above_expectation,ngs_avg_time_to_throw,ngs_avg_separation,ngs_avg_cushion,ngs_rush_yards_over_expected_per_att,ngs_percent_attempts_gte_eight_defenders
,3.0470630408156927,00-0022942,,QB_pocket,17.78666666666667,QB,,320.16,,0.14979256104379032,0.0,0.68,0.0,,0.20093053131620467,636.0,LAC,2018,0.0,37.0,False,,636.0,0.9722222222222222,18,QB,15.071727941176471,True,True,False,False,False,,2.5163754454161165,2.617966535433071,,,,
0.9722222222222222,3.71505078417616,00-0022942,0.9905956112852664,QB_pocket,14.71875,QB,0.0,235.5,,0.07542866842027147,0.0,0.6,0.0,0.0,0.09183359438248999,623.0,LAC,2019,0.0,38.0,False,17.78666666666667,623.0,0.973125,16,QB,15.424705882352942,True,True,True,False,True,,2.2242818910206097,2.6278214285714285,,,,
0.973125,0.32646510161851583,00-0022942,0.9823717948717948,QB_pocket,15.424705882352942,QB,0.0,262.22,17.78666666666667,0.1260606089503435,0.0,0.52,0.0,0.0,0.1786874480649828,608.0,IND,2020,0.0,39.0,False,14.71875,608.0,0.9576470588235295,17,QB,,False,False,True,True,True,,1.6487448721520366,2.520629629629629,,,,
,,00-0022943,,TE,6.371428571428572,TE,,89.2,,,0.11033681765389082,0.2,0.08159722222222222,,,,NO,2018,0.19963160569105692,38.0,False,,,0.4711764705882353,14,TE,4.11,True,True,False,False,False,0.0,,,2.642627979604568,5.1703125,,
0.4711764705882353,,00-0022943,0.41739130434782606,TE,4.11,TE,0.09722222222222222,41.1,,,0.05236907730673317,0.1,0.04508856682769726,0.7326388888888888,,,NE,2019,0.1042912043562591,39.0,False,6.371428571428572,,0.6363636363636364,10,TE,,False,False,True,False,True,0.0,,,,,,
,-1.7017965988507346,00-0023436,,QB_pocket,13.8,QB,,138.0,,-0.037284932078642335,0.0,0.92,0.0,,-0.04597077468870019,349.0,WAS,2018,0.0,34.0,False,,349.0,0.968,10,QB,8.9475,True,True,False,False,False,,0.6149468392633395,2.7897638036809815,,,,
,-0.84522821071769,00-0023436,0.3839779005524862,QB_pocket,8.9475,QB,0.0,71.58,13.8,-0.09719109493268285,0.0,0.76,0.0,0.0,-0.13522201471504255,274.0,WAS,2020,0.0,36.0,False,,274.0,0.8575,8,QB,,False,False,False,True,False,,-0.7010478230696009,2.63011507936508,,,,
,-0.5935521540434464,00-0023459,,QB_pocket,19.53625,QB,,312.58,,0.05267809182993358,0.0,0.84,0.0,,0.07779821184580561,647.0,GB,2018,0.0,35.0,False,,647.0,0.931875,16,QB,20.699444444444445,True,True,False,False,False,,-1.0418312262175817,2.9496672268907567,,,,
0.931875,1.7235363772766075,00-0023459,0.9943661971830986,QB_pocket,17.363333333333333,QB,0.0,312.54,,0.07542702626373571,0.0,0.76,0.0,0.0,0.10036631018843699,678.0,GB,2019,0.0,36.0,False,19.53625,678.0,0.9833333333333333,18,QB,22.085424836601305,True,True,True,False,True,,-2.1492017100782874,2.882102112676056,,,,
0.9833333333333333,6.779109793049948,00-0023459,0.9969879518072289,QB_pocket,24.035555555555554,QB,0.0015105740181268882,432.64,19.53625,0.23597063426180545,-0.000859106529209622,0.68,0.0017211703958691911,-0.00906344410876133,0.30804757840379376,634.0,GB,2020,0.0019803810233570513,37.0,False,17.363333333333333,634.0,0.9805555555555555,18,QB,17.102941176470587,True,True,True,True,True,,3.352154937250532,2.7242447418738047,,,,
