player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons
00-0035628,2024,RB,32.300000000000004,artifact_row,35.9,2.9916666666666667,12,28.0,6,False,,,,,no_verified_draft_class,0,0
00-0035657,2024,RB,0.0,no_record_zero,0.0,,0,27.0,5,True,2019.0,3.0,87.0,6.0,draft_year_outside_1_3,0,0
00-0035664,2024,RB,0.0,no_record_zero,0.0,,0,27.0,5,True,2019.0,3.0,70.0,6.0,draft_year_outside_1_3,0,0
00-0035685,2024,RB,221.72,artifact_row,225.32,15.021333333333333,15,27.0,6,True,2019.0,3.0,73.0,6.0,draft_year_outside_1_3,0,0
00-0035700,2024,RB,281.5,artifact_row,314.20000000000005,17.45555555555556,18,26.0,6,True,2019.0,1.0,24.0,6.0,draft_year_outside_1_3,0,0
00-0035715,2024,RB,0.0,no_record_zero,0.0,,0,30.0,2,False,,,,,no_verified_draft_class,0,0
00-0035726,2024,RB,0.0,artifact_row,0.0,0.0,1,30.0,6,False,,,,,no_verified_draft_class,0,0
00-0035806,2024,RB,28.8,artifact_row,28.8,2.4,12,28.0,5,False,,,,,no_verified_draft_class,0,0
00-0035831,2024,RB,0.0,no_record_zero,0.0,,0,26.0,4,False,,,,,no_verified_draft_class,0,0
00-0035860,2024,RB,0.0,artifact_row,11.5,11.5,1,27.0,5,False,,,,,no_verified_draft_class,0,0
00-0035924,2024,RB,2.2,artifact_row,2.2,0.55,4,27.0,5,False,,,,,no_verified_draft_class,0,0
00-0035973,2024,RB,16.7,artifact_row,29.8,4.257142857142857,7,26.0,4,False,,,,,no_verified_draft_class,0,0
00-0036020,2024,RB,0.0,no_record_zero,0.0,,0,26.0,4,False,,,,,no_verified_draft_class,0,0
00-0036096,2024,RB,6.4,artifact_row,6.4,2.1333333333333333,3,26.0,4,False,,,,,no_verified_draft_class,0,0
00-0036139,2024,RB,181.4,artifact_row,197.8,12.3625,16,26.0,4,False,,,,,no_verified_draft_class,0,0
00-0036158,2024,RB,181.3,artifact_row,194.4,13.885714285714286,14,26.0,4,True,2020.0,2.0,55.0,5.0,draft_year_outside_1_3,0,0
00-0036187,2024,RB,0.3,artifact_row,0.7000000000000001,0.0875,8,27.0,5,False,,,,,no_verified_draft_class,0,0
00-0036223,2024,RB,219.7,artifact_row,244.7,17.47857142857143,14,25.0,5,True,2020.0,2.0,41.0,5.0,draft_year_outside_1_3,0,0
00-0036251,2024,RB,81.9,artifact_row,81.9,10.2375,8,27.0,5,True,2020.0,3.0,86.0,5.0,draft_year_outside_1_3,0,0
00-0036265,2024,RB,0.0,no_record_zero,0.0,,0,26.0,4,True,2020.0,2.0,62.0,5.0,draft_year_outside_1_3,0,0
00-0036269,2024,RB,0.0,no_record_zero,0.0,,0,26.0,3,True,2020.0,4.0,120.0,5.0,draft_year_outside_1_3,0,0
00-0036275,2024,RB,202.0,artifact_row,214.5,12.617647058823527,17,25.0,5,True,2020.0,2.0,35.0,5.0,draft_year_outside_1_3,0,0
00-0036297,2024,RB,0.3,artifact_row,0.3,0.3,1,26.0,5,True,2020.0,3.0,93.0,5.0,draft_year_outside_1_3,0,0
00-0036328,2024,RB,93.3,artifact_row,103.4,6.082352941176471,17,26.0,5,True,2020.0,3.0,66.0,5.0,draft_year_outside_1_3,0,0
00-0036336,2024,RB,0.0,no_record_zero,0.0,,0,25.0,4,True,2020.0,4.0,124.0,5.0,draft_year_outside_1_3,0,0
00-0036360,2024,RB,5.0,artifact_row,10.0,5.0,2,25.0,5,True,2020.0,1.0,32.0,5.0,draft_year_outside_1_3,0,0
00-0036370,2024,RB,0.0,artifact_row,0.2,0.2,1,27.0,5,True,2020.0,4.0,112.0,5.0,draft_year_outside_1_3,0,0
00-0036414,2024,RB,84.30000000000001,artifact_row,97.1,5.711764705882353,17,25.0,5,True,2020.0,2.0,52.0,5.0,draft_year_outside_1_3,0,0
00-0036425,2024,RB,17.3,artifact_row,21.0,1.3125,16,26.0,5,True,2020.0,4.0,144.0,5.0,draft_year_outside_1_3,0,0
00-0036450,2024,RB,0.4,artifact_row,0.4,0.4,1,27.0,5,True,2020.0,3.0,76.0,5.0,draft_year_outside_1_3,0,0
00-0036493,2024,RB,0.0,no_record_zero,0.0,,0,25.0,3,False,,,,,no_verified_draft_class,0,0
00-0036555,2024,RB,241.6,artifact_row,241.6,16.10666666666667,15,25.0,4,True,2021.0,4.0,126.0,4.0,draft_year_outside_1_3,0,0
00-0036567,2024,RB,0.0,no_record_zero,0.0,,0,26.0,3,True,2021.0,6.0,194.0,4.0,draft_year_outside_1_3,0,0
