origin,position,horizon,ordering,budget,n,picks,hits,points_captured,points_per_slot,misses,busts,boundary_ties,fractional_credit_applied
2014,TE,23,rank_future_year1,3,28,3,0.0,192.2,64.06666666666666,3.0,0.0,0,False
2014,WR,23,rank_future_year1,3,47,3,1.0,363.0,121.0,6.0,0.0,0,False
2015,QB,23,rank_future_year1,3,9,3,0.0,2.3600000000000003,0.7866666666666667,2.0,1.0,0,False
2015,RB,23,rank_future_year1,3,31,3,1.0,655.5999999999999,218.5333333333333,6.0,1.0,0,False
2015,TE,23,rank_future_year1,3,28,3,1.0,144.7,48.23333333333333,3.0,1.0,0,False
2015,WR,23,rank_future_year1,3,50,3,2.0,483.6,161.20000000000002,7.0,1.0,0,False
2016,QB,23,rank_future_year1,3,12,3,1.0,212.88,70.96,1.0,2.0,0,False
2016,RB,23,rank_future_year1,3,30,3,1.0,520.46,173.48666666666668,4.0,0.0,0,False
2016,TE,23,rank_future_year1,3,30,3,1.0,453.6,151.20000000000002,3.0,0.0,0,False
2016,WR,23,rank_future_year1,3,54,3,1.0,174.5,58.166666666666664,7.0,1.0,0,False
2017,QB,23,rank_future_year1,3,10,3,1.0,650.38,216.79333333333332,0.0,2.0,0,False
2017,RB,23,rank_future_year1,3,34,3,3.0,978.7,326.23333333333335,4.0,0.0,0,False
2017,TE,23,rank_future_year1,3,33,3,1.0,447.0,149.0,3.0,0.0,0,False
2017,WR,23,rank_future_year1,3,59,3,3.0,1029.6,343.2,9.0,0.0,0,False
2018,QB,23,rank_future_year1,3,8,3,0.0,0.0,0.0,0.0,3.0,0,False
2018,RB,23,rank_future_year1,3,37,3,0.0,90.2,30.066666666666666,3.0,1.0,0,False
2018,TE,23,rank_future_year1,3,25,3,1.0,328.3,109.43333333333334,5.0,0.0,0,False
2018,WR,23,rank_future_year1,3,48,3,2.0,503.59999999999997,167.86666666666665,3.0,0.0,0,False
2019,QB,23,rank_future_year1,3,9,3,0.0,28.88,9.626666666666667,0.0,2.0,0,False
2019,RB,23,rank_future_year1,3,39,3,1.0,558.4,186.13333333333333,7.0,1.0,0,False
2019,TE,23,rank_future_year1,3,30,3,0.0,194.10000000000002,64.7,5.0,0.0,0,False
2019,WR,23,rank_future_year1,3,46,3,1.0,289.5,96.5,8.0,1.0,0,False
2020,QB,23,rank_future_year1,3,10,3,0.0,0.0,0.0,0.0,3.0,0,False
2020,RB,23,rank_future_year1,3,39,3,3.0,580.9,193.63333333333333,2.0,0.0,0,False
2020,TE,23,rank_future_year1,3,33,3,1.0,368.6,122.86666666666667,2.0,0.0,0,False
2020,WR,23,rank_future_year1,3,50,3,1.0,519.3,173.1,5.0,0.0,0,False
2021,QB,23,rank_future_year1,3,14,3,1.0,532.0,177.33333333333334,0.0,1.0,0,False
2021,RB,23,rank_future_year1,3,34,3,2.0,520.58,173.52666666666667,1.0,0.0,0,False
2021,TE,23,rank_future_year1,3,32,3,0.0,194.8,64.93333333333334,1.0,0.0,0,False
2021,WR,23,rank_future_year1,3,55,3,1.0,255.70000000000002,85.23333333333333,3.0,1.0,0,False
2022,QB,23,rank_future_year1,3,13,3,0.0,20.64,6.88,1.0,1.0,0,False
2022,RB,23,rank_future_year1,3,35,3,1.0,340.1,113.36666666666667,2.0,1.0,0,False
2022,TE,23,rank_future_year1,3,34,3,2.0,540.3,180.1,4.0,0.0,0,False
2022,WR,23,rank_future_year1,3,58,3,1.0,454.90000000000003,151.63333333333335,6.0,0.0,0,False
2014,QB,23,rank_origin_points,2,7,2,0.0,0.0,0.0,3.0,2.0,0,False
2014,RB,23,rank_origin_points,2,36,2,2.0,621.4,310.7,10.0,0.0,0,False
2014,TE,23,rank_origin_points,2,28,2,0.0,91.5,45.75,3.0,0.0,0,False
2014,WR,23,rank_origin_points,2,47,2,0.0,237.5,118.75,7.0,0.0,0,False
2015,QB,23,rank_origin_points,2,9,2,0.0,2.3600000000000003,1.1800000000000002,2.0,0.0,0,False
2015,RB,23,rank_origin_points,2,31,2,1.0,655.5999999999999,327.79999999999995,6.0,0.0,0,False
2015,TE,23,rank_origin_points,2,28,2,1.0,163.39999999999998,81.69999999999999,3.0,1.0,0,False
2015,WR,23,rank_origin_points,2,50,2,1.0,305.1,152.55,8.0,1.0,0,False
2016,QB,23,rank_origin_points,2,12,2,1.0,283.54,141.77,1.0,1.0,0,False
2016,RB,23,rank_origin_points,2,30,2,1.0,486.76,243.38,4.0,0.0,0,False
2016,TE,23,rank_origin_points,2,30,2,0.0,122.1,61.05,4.0,0.0,0,False
