player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0027753,2011,TE,6.6000000000000005,artifact_row,6.6000000000000005,1.32,5,23.0,2,True,2010.0,5.0,154.0,2.0,,2,0,13.099675131607595,3.9353263251169217,13.099675131607595,13.099675131607595,3.9353263251169217,no_record_zero,0.0,False,False,True,1,0.0,25.0,25.0,22.0,18.0,22.0
00-0027761,2011,TE,13.5,artifact_row,13.5,1.35,10,24.0,2,True,2010.0,5.0,162.0,2.0,,2,0,17.226320253254684,8.049531119557338,17.226320253254684,17.226320253254684,8.049531119557338,no_record_zero,0.0,False,False,True,1,0.0,20.0,20.0,17.0,21.0,17.5
00-0027769,2011,TE,0.0,artifact_row,0.0,0.0,1,25.0,2,True,2010.0,6.0,170.0,2.0,,2,0,0.0,0.0,0.0,0.0,0.0,no_record_zero,0.0,False,False,True,1,0.0,40.5,40.5,36.5,22.0,37.0
00-0027780,2011,TE,0.0,no_record_zero,0.0,,0,23.0,1,True,2010.0,6.0,182.0,2.0,,2,1,3.089197000918126,0.0,3.089197000918126,3.089197000918126,0.0,artifact_row,10.8,False,True,False,1,10.8,31.0,31.0,36.5,26.0,37.0
00-0027783,2011,TE,27.6,artifact_row,27.6,2.3000000000000003,12,24.0,2,True,2010.0,6.0,185.0,2.0,,2,0,26.229920826099622,16.456819177761673,26.229920826099622,26.229920826099622,16.456819177761673,artifact_row,59.2,False,True,False,1,59.2,15.0,15.0,9.0,28.0,11.0
00-0027809,2011,TE,0.0,no_record_zero,0.0,,0,25.0,1,True,2010.0,7.0,214.0,2.0,,2,1,2.356932377622924,0.0,2.356932377622924,2.356932377622924,0.0,no_record_zero,0.0,False,False,True,1,0.0,33.0,33.0,36.5,32.0,37.0
00-0027819,2011,TE,0.0,no_record_zero,0.0,,0,23.0,1,True,2010.0,7.0,227.0,2.0,,2,1,1.9185657861399412,0.0,1.9185657861399412,1.9185657861399412,0.0,artifact_row,17.9,False,True,False,1,17.9,34.0,34.0,36.5,34.0,37.0
00-0027825,2011,TE,4.5,artifact_row,4.5,1.125,4,25.0,2,True,2010.0,7.0,233.0,2.0,,2,0,0.9018012929761248,2.683177039852446,0.9018012929761248,0.9018012929761248,2.683177039852446,artifact_row,1.3,False,True,False,1,1.3,37.0,37.0,26.0,35.0,26.0
00-0027836,2011,TE,0.0,artifact_row,0.0,0.0,1,25.0,1,True,2010.0,7.0,245.0,2.0,,2,1,0.0508904807569839,0.0,0.0508904807569839,0.0508904807569839,0.0,no_record_zero,0.0,False,False,True,1,0.0,39.0,39.0,36.5,39.0,37.0
00-0027981,2011,TE,64.4,artifact_row,68.9,4.921428571428572,14,22.0,1,True,2011.0,2.0,43.0,1.0,,1,0,71.9702593406126,41.082421787963014,71.9702593406126,71.9702593406126,41.082421787963014,artifact_row,154.3,True,True,False,1,154.3,2.0,2.0,2.0,1.0,2.0
00-0027985,2011,TE,52.0,artifact_row,60.400000000000006,4.026666666666667,15,23.0,1,True,2011.0,2.0,47.0,1.0,,1,0,65.5299463187875,36.01419849046395,65.5299463187875,65.5299463187875,36.01419849046395,artifact_row,113.6,False,True,False,1,113.6,3.0,3.0,3.0,2.0,3.0
00-0028007,2011,TE,20.6,artifact_row,23.3,2.588888888888889,9,23.0,1,True,2011.0,3.0,69.0,1.0,,1,0,33.88918570297355,13.892894450791555,33.88918570297355,33.88918570297355,13.892894450791555,artifact_row,86.7,False,True,False,1,86.7,10.0,10.0,13.0,4.0,13.0
00-0028040,2011,TE,6.8,artifact_row,9.3,1.86,5,23.0,1,True,2011.0,4.0,102.0,1.0,,1,0,17.420855098200324,5.545232549028389,17.420855098200324,17.420855098200324,5.545232549028389,artifact_row,48.6,False,True,False,1,48.6,19.0,19.0,21.0,7.0,20.0
00-0028042,2011,TE,21.200000000000003,artifact_row,21.200000000000003,2.355555555555556,9,23.0,1,True,2011.0,4.0,104.0,1.0,,1,0,32.279887518735805,12.64074516552708,32.279887518735805,32.279887518735805,12.64074516552708,artifact_row,30.5,False,True,False,1,30.5,12.0,12.0,12.0,8.0,14.0
00-0028067,2011,TE,1.5,artifact_row,1.5,0.375,4,23.0,1,True,2011.0,4.0,129.0,1.0,,1,0,7.990409788438599,0.894392346617482,7.990409788438599,7.990409788438599,0.894392346617482,no_record_zero,0.0,False,False,True,1,0.0,28.0,28.0,29.0,14.0,31.0
00-0028079,2011,TE,1.7000000000000002,artifact_row,3.3000000000000003,0.55,6,23.0,1,True,2011.0,5.0,141.0,1.0,,1,0,13.012162775359986,1.9676631625584609,13.012162775359986,13.012162775359986,1.9676631625584609,artifact_row,12.7,False,True,False,1,12.7,26.0,26.0,28.0,16.0,28.0
00-0028093,2011,TE,5.2,artifact_row,5.2,0.5777777777777778,9,22.0,1,True,2011.0,5.0,155.0,1.0,,1,0,22.333676026814064,3.1005601349406047,22.333676026814064,22.333676026814064,3.1005601349406047,artifact_row,29.1,False,True,False,1,29.1,16.0,16.0,24.0,19.0,24.0
00-0028097,2011,TE,5.1,artifact_row,5.1,1.275,4,24.0,1,True,2011.0,5.0,159.0,1.0,,1,0,10.357215336870809,3.0409339784994387,10.357215336870809,10.357215336870809,3.0409339784994387,artifact_row,17.3,False,True,False,1,17.3,27.0,27.0,25.0,20.0,25.0
00-0028112,2011,TE,50.2,artifact_row,57.3,4.407692307692307,13,22.0,1,True,2011.0,6.0,174.0,1.0,,1,0,63.9404707526413,34.16578764078781,63.9404707526413,63.9404707526413,34.16578764078781,artifact_row,51.2,False,True,False,1,51.2,4.0,4.0,4.0,23.0,4.0
00-0028119,2011,TE,1.2,artifact_row,1.2,0.15,8,24.0,1,True,2011.0,6.0,181.0,1.0,,1,0,13.420547864066265,0.7155138772939856,13.420547864066265,13.420547864066265,0.7155138772939856,artifact_row,8.9,False,True,False,1,8.9,24.0,24.0,30.5,25.0,32.0
00-0028142,2011,TE,5.4,artifact_row,5.4,0.675,8,23.0,1,True,2011.0,7.0,204.0,1.0,,1,0,18.47383657348055,3.2198124478229357,18.47383657348055,18.47383657348055,3.2198124478229357,artifact_row,7.4,False,True,False,1,7.4,18.0,18.0,23.0,30.0,23.0
00-0028156,2011,TE,7.4,artifact_row,7.4,0.74,10,24.0,1,True,2011.0,7.0,218.0,1.0,,1,0,21.94617583020485,4.412335576646245,21.94617583020485,21.94617583020485,4.412335576646245,artifact_row,2.1,False,True,False,1,2.1,17.0,17.0,20.0,33.0,21.0
00-0028179,2011,TE,1.2,artifact_row,3.2,0.3555555555555555,9,24.0,1,True,2011.0,7.0,241.0,1.0,,1,0,16.955040738132954,1.908037006117295,16.955040738132954,16.955040738132954,1.908037006117295,artifact_row,16.2,False,True,False,1,16.2,21.0,21.0,30.5,37.5,29.0
